date,symbol,open,close,low,high,volume
2020-09-03,KOSPI,2383.260010,2395.899902,2382.229980,2401.780029,981500
2020-09-04,KOSPI,2332.679932,2368.250000,2332.679932,2371.020020,1351000
2020-09-07,KOSPI,2369.850098,2384.219971,2362.419922,2387.489990,1197400
2020-09-08,KOSPI,2402.659912,2401.909912,2391.429932,2407.560059,979400
2020-09-09,KOSPI,2372.530029,2375.810059,2369.120117,2388.850098,946200
2020-09-10,KOSPI,2404.830078,2396.479980,2388.560059,2406.679932,1064600
2020-09-11,KOSPI,2389.760010,2396.689941,2374.000000,2397.560059,882900
2020-09-14,KOSPI,2418.330078,2427.909912,2410.790039,2429.070068,963100
2020-09-15,KOSPI,2434.590088,2443.580078,2423.790039,2444.570068,850000
2020-09-16,KOSPI,2442.719971,2435.919922,2429.939941,2450.530029,772900
2020-09-17,KOSPI,2430.770020,2406.169922,2398.689941,2437.020020,853700
2020-09-18,KOSPI,2413.530029,2412.399902,2396.330078,2417.810059,756500
2020-09-21,KOSPI,2412.439941,2389.389893,2379.379883,2427.169922,1042000
2020-09-22,KOSPI,2388.139893,2332.590088,2323.580078,2388.489990,1051000
2020-09-23,KOSPI,2352.560059,2333.239990,2287.439941,2354.459961,735000
2020-09-24,KOSPI,2295.620117,2272.699951,2268.879883,2309.739990,714900
2020-09-25,KOSPI,2295.189941,2278.790039,2267.629883,2296.360107,698000
2020-09-28,KOSPI,2301.159912,2308.080078,2291.320068,2314.810059,606000
2020-09-29,KOSPI,2331.510010,2327.889893,2320.040039,2339.830078,646200
2020-10-05,KOSPI,2330.550049,2358.000000,2327.830078,2364.729980,763600
2020-10-06,KOSPI,2369.169922,2365.899902,2355.389893,2378.280029,861800
2020-10-07,KOSPI,2350.820068,2386.939941,2347.820068,2387.449951,735800
2020-10-08,KOSPI,2408.489990,2391.959961,2383.820068,2409.010010,961700
2020-10-12,KOSPI,2404.179932,2403.729980,2393.739990,2409.419922,843600
2020-10-13,KOSPI,2416.850098,2403.149902,2385.870117,2418.889893,724900
2020-10-14,KOSPI,2403.739990,2380.479980,2375.540039,2405.560059,901200
2020-10-15,KOSPI,2375.909912,2361.209961,2348.739990,2376.729980,1165500
2020-10-16,KOSPI,2363.879883,2341.530029,2325.030029,2370.729980,920200
2020-10-19,KOSPI,2352.919922,2346.739990,2344.770020,2364.250000,930800
2020-10-20,KOSPI,2333.560059,2358.409912,2322.060059,2358.409912,870300
2020-10-21,KOSPI,2363.030029,2370.860107,2356.320068,2371.739990,810400
2020-10-22,KOSPI,2355.610107,2355.050049,2339.729980,2360.219971,814000
2020-10-23,KOSPI,2364.840088,2360.810059,2344.489990,2368.570068,890400
2020-10-26,KOSPI,2366.500000,2343.909912,2342.580078,2374.500000,822300
2020-10-27,KOSPI,2328.659912,2330.840088,2321.229980,2349.330078,666900
2020-10-28,KOSPI,2324.179932,2345.260010,2316.469971,2345.459961,705200
2020-10-29,KOSPI,2312.340088,2326.669922,2299.909912,2330.169922,509100
2020-10-30,KOSPI,2319.560059,2267.149902,2266.929932,2320.199951,795600
2020-11-02,KOSPI,2276.610107,2300.159912,2267.949951,2302.639893,678500
2020-11-03,KOSPI,2315.810059,2343.310059,2315.300049,2344.770020,887400
2020-11-04,KOSPI,2361.320068,2357.320068,2339.949951,2371.139893,986800
2020-11-05,KOSPI,2373.409912,2413.790039,2370.850098,2413.790039,702000
2020-11-06,KOSPI,2421.790039,2416.500000,2404.969971,2431.110107,825600
2020-11-09,KOSPI,2438.629883,2447.199951,2434.520020,2459.149902,1354900
2020-11-10,KOSPI,2453.949951,2452.830078,2435.590088,2457.939941,1464200
2020-11-11,KOSPI,2459.500000,2485.870117,2459.500000,2488.040039,1272000
2020-11-12,KOSPI,2482.679932,2475.620117,2467.040039,2488.790039,1278100
2020-11-13,KOSPI,2470.120117,2493.870117,2460.959961,2495.770020,1072400
2020-11-16,KOSPI,2507.459961,2543.030029,2507.459961,2546.370117,1239100
2020-11-17,KOSPI,2544.120117,2539.149902,2533.340088,2556.090088,1266400
2020-11-18,KOSPI,2548.850098,2545.639893,2536.780029,2553.949951,923500
2020-11-19,KOSPI,2536.889893,2547.419922,2529.530029,2548.949951,976500
2020-11-20,KOSPI,2544.060059,2553.500000,2539.790039,2558.209961,1128900
2020-11-23,KOSPI,2560.040039,2602.590088,2553.699951,2605.580078,1648900
2020-11-24,KOSPI,2616.280029,2617.760010,2605.030029,2628.520020,1364500
2020-11-25,KOSPI,2637.340088,2601.540039,2583.409912,2642.260010,1410100
2020-11-26,KOSPI,2605.729980,2625.909912,2592.429932,2625.969971,1387400
2020-11-27,KOSPI,2624.800049,2633.449951,2618.469971,2635.000000,1196000
2020-11-30,KOSPI,2648.050049,2591.340088,2591.340088,2648.659912,1311800
2020-12-01,KOSPI,2613.419922,2634.250000,2611.669922,2638.870117,1150300
2020-12-02,KOSPI,2645.879883,2675.899902,2644.530029,2677.260010,1076200
2020-12-03,KOSPI,2686.379883,2696.219971,2672.850098,2696.219971,817100
2020-12-04,KOSPI,2705.340088,2731.449951,2705.340088,2742.770020,1778900
2020-12-07,KOSPI,2738.110107,2745.439941,2711.419922,2754.010010,1499300
2020-12-08,KOSPI,2745.129883,2700.929932,2700.919922,2747.449951,1414300
2020-12-09,KOSPI,2703.300049,2755.469971,2703.300049,2755.469971,1252300
2020-12-10,KOSPI,2750.340088,2746.459961,2718.699951,2765.459961,1227700
2020-12-11,KOSPI,2754.159912,2770.060059,2754.159912,2781.040039,1215200
2020-12-14,KOSPI,2769.429932,2762.199951,2755.290039,2782.790039,1113600
2020-12-15,KOSPI,2763.649902,2756.820068,2735.080078,2769.370117,1092700
2020-12-16,KOSPI,2763.639893,2771.790039,2761.500000,2781.080078,1166600
2020-12-17,KOSPI,2769.889893,2770.429932,2742.250000,2772.709961,1015500
2020-12-18,KOSPI,2770.949951,2772.179932,2762.800049,2782.149902,1058300
2020-12-21,KOSPI,2771.979980,2778.649902,2747.090088,2780.239990,1139500
2020-12-22,KOSPI,2772.030029,2733.679932,2733.639893,2774.219971,1260800
2020-12-23,KOSPI,2737.739990,2759.820068,2716.280029,2769.080078,1121300
2020-12-24,KOSPI,2762.600098,2806.860107,2762.600098,2812.159912,1030900
2020-12-28,KOSPI,2820.949951,2808.600098,2799.560059,2834.590088,1006200
2020-12-29,KOSPI,2810.550049,2820.510010,2792.060059,2823.439941,1046800
2020-12-30,KOSPI,2820.360107,2873.469971,2809.350098,2878.209961,1074000
2021-01-04,KOSPI,2874.500000,2944.449951,2869.110107,2946.540039,1026500
2021-01-05,KOSPI,2943.669922,2990.570068,2921.840088,2990.570068,1519900
2021-01-06,KOSPI,2993.340088,2968.209961,2961.370117,3027.159912,1793400
2021-01-07,KOSPI,2980.750000,3031.679932,2980.750000,3055.280029,1524700
2021-01-08,KOSPI,3040.110107,3152.179932,3040.110107,3161.110107,1297900
2021-01-11,KOSPI,3161.899902,3148.449951,3096.189941,3266.229980,1712500
2021-01-12,KOSPI,3145.870117,3125.949951,3047.560059,3154.790039,1388600
2021-01-13,KOSPI,3128.260010,3148.290039,3109.629883,3164.370117,1578000
2021-01-14,KOSPI,3148.649902,3149.929932,3128.719971,3159.030029,1233200
2021-01-15,KOSPI,3153.840088,3085.899902,3085.899902,3189.899902,1331100
2021-01-18,KOSPI,3079.899902,3013.929932,3003.889893,3079.899902,1472000
2021-01-19,KOSPI,3013.050049,3092.659912,3013.050049,3092.659912,1353300
2021-01-20,KOSPI,3115.040039,3114.550049,3077.149902,3145.010010,1192700
2021-01-21,KOSPI,3123.270020,3160.840088,3123.270020,3163.209961,1360100
2021-01-22,KOSPI,3163.830078,3140.629883,3140.600098,3185.260010,1111200
2021-01-25,KOSPI,3144.010010,3208.989990,3142.800049,3212.219971,1093700
2021-01-26,KOSPI,3203.959961,3140.310059,3132.669922,3209.179932,873000
